id_normalizado,Categoria,Segmento_poblacional,Piramide1,Piramide2,registros_fuente,calidad_perfil
10,A,Medio,4 micro,4.5 transaccional,1,Consistente
10000000,A,Basico,2 emp medio,2.2 silver,1,Consistente
10000004,A,Basico,1 emp grandes,1.1 platinum,2,Consistente
10000009,A,Basico,4 micro,4.5 transaccional,2,Consistente
10000041,A,Basico,4 micro,4.5 transaccional,2,Consistente
10000051,A,Basico,4 micro,4.5 transaccional,2,Consistente
10000053,A,Basico,2 emp medio,2.1 gold,2,Consistente
10000065,A,Joven,1 emp grandes,1.2 premium,1,Consistente
10000067,A,Basico,4 micro,4.5 transaccional,1,Consistente
10000082,A,Joven,1 emp grandes,1.1 platinum,2,Consistente
10000160,A,Basico,3 empresas pymes,3.2 vip estandar,1,Consistente
10000166,A,Basico,2 emp medio,2.1 gold,1,Consistente
10000167,B,Joven,2 emp medio,2.2 silver,1,Consistente
10000169,A,Basico,1 emp grandes,1.2 premium,1,Consistente
10000170,A,Basico,2 emp medio,2.1 gold,1,Consistente
100002,A,Basico,4 micro,4.3 trans.juridica ent. 11 a 99 trab.,1,Consistente
10000200,A,Joven,1 emp grandes,1.1 platinum,2,Consistente
10000204,A,Basico,4 micro,4.5 transaccional,2,Consistente
10000208,A,Basico,1 emp grandes,1.2 premium,2,Consistente
100003,C,Medio,3 empresas pymes,3.1 vip,1,Consistente
10000310,A,Joven,3 empresas pymes,3.1 vip,1,Consistente
10000336,A,Joven,1 emp grandes,1.1 platinum,2,Consistente
10000345,A,Basico,4 micro,4.5 transaccional,2,Consistente
10000363,A,Basico,4 micro,4.5 transaccional,2,Consistente
10000465,A,Joven,3 empresas pymes,3.1 vip,1,Consistente
10000473,A,Basico,4 micro,4.5 transaccional,1,Consistente
10000487,A,Joven,1 emp grandes,1.1 platinum,2,Consistente
100005,B,Medio,1 emp grandes,1.2 premium,1,Consistente
10000610,A,Basico,3 empresas pymes,3.1 vip,1,Consistente
10000613,B,Medio,1 emp grandes,1.1 platinum,1,Consistente
10000624,A,Joven,1 emp grandes,1.2 premium,1,Consistente
10000651,A,Basico,3 empresas pymes,3.2 vip estandar,2,Consistente
10000652,A,Basico,4 micro,4.5 transaccional,2,Consistente
10000664,A,Joven,1 emp grandes,1.1 platinum,2,Consistente
10000699,A,Basico,4 micro,4.5 transaccional,1,Consistente
10000763,A,Joven,2 emp medio,2.2 silver,1,Consistente
10000831,B,Medio,4 micro,4.1 estandar,1,Consistente
10000837,A,Joven,4 micro,4.1 estandar,1,Consistente
10000840,A,Basico,2 emp medio,2.2 silver,1,Consistente
10000843,A,Joven,1 emp grandes,1.1 platinum,1,Consistente
10000845,A,Medio,5 micro,5.1 colsubsidio,1,Consistente
10000847,A,Basico,4 micro,4.1 estandar,1,Consistente
10000850,A,Basico,1 emp grandes,1.1 platinum,1,Consistente
10000853,A,Joven,1 emp grandes,1.2 premium,1,Consistente
10000866,A,Joven,4 micro,4.3 trans.juridica ent. 11 a 99 trab.,1,Consistente
10000867,A,Basico,2 emp medio,2.2 silver,1,Consistente
10000868,A,Joven,1 emp grandes,1.2 premium,1,Consistente
10000871,B,Joven,1 emp grandes,1.1 platinum,1,Consistente
10000881,A,Basico,4 micro,4.1 estandar,1,Consistente
10000882,A,Joven,3 empresas pymes,3.2 vip estandar,1,Consistente
10000887,C,Joven,4 micro,4.3 trans.juridica ent. 11 a 99 trab.,1,Consistente
10000891,A,Basico,2 emp medio,2.2 silver,1,Consistente
10000893,A,Joven,4 micro,4.5 transaccional,1,Consistente
10000902,A,Basico,4 micro,4.1 estandar,1,Consistente
10000982,A,Joven,1 emp grandes,1.1 platinum,1,Consistente
10000989,A,Joven,2 emp medio,2.1 gold,1,Consistente
10000993,A,Basico,4 micro,4.5 transaccional,1,Consistente
10000994,B,Joven,1 emp grandes,1.2 premium,1,Consistente
10000996,A,Basico,3 empresas pymes,3.2 vip estandar,1,Consistente
10001,A,Basico,4 micro,4.3 trans.juridica ent. 11 a 99 trab.,1,Consistente
10001007,A,Basico,4 micro,4.5 transaccional,1,Consistente
10001056,A,Basico,4 micro,4.5 transaccional,1,Consistente
10001143,B,Medio,3 empresas pymes,3.1 vip,1,Consistente
10001146,A,Basico,2 emp medio,2.1 gold,1,Consistente
10001148,A,Joven,4 micro,4.3 trans.juridica ent. 11 a 99 trab.,1,Consistente
10001150,A,Basico,3 empresas pymes,3.1 vip,1,Consistente
10001153,A,Medio,4 micro,4.3 trans.juridica ent. 11 a 99 trab.,1,Consistente
10001154,A,Basico,4 micro,4.3 trans.juridica ent. 11 a 99 trab.,1,Consistente
10001156,A,Basico,4 micro,4.1 estandar,1,Consistente
10001157,A,Joven,2 emp medio,2.1 gold,1,Consistente
10001159,A,Joven,3 empresas pymes,3.2 vip estandar,1,Consistente
10001160,A,Basico,2 emp medio,2.1 gold,1,Consistente
10001164,B,Joven,1 emp grandes,1.1 platinum,1,Consistente
10001187,A,Basico,1 emp grandes,1.2 premium,2,Consistente
10001198,A,Basico,4 micro,4.5 transaccional,2,Consistente
100012,A,Basico,1 emp grandes,1.2 premium,1,Consistente
10001217,A,Basico,2 emp medio,2.2 silver,2,Consistente
10001237,A,Basico,4 micro,4.5 transaccional,2,Consistente
10001245,A,Joven,4 micro,4.1 estandar,2,Consistente
10001279,A,Basico,4 micro,4.5 transaccional,2,Consistente
10001309,A,Basico,4 micro,4.5 transaccional,2,Consistente
10001314,A,Basico,4 micro,4.5 transaccional,2,Consistente
10001324,A,Basico,2 emp medio,2.1 gold,2,Consistente
10001331,A,Joven,1 emp grandes,1.1 platinum,2,Consistente
