id_persona_cargo,n_titulares,id_afiliado_titular,estado_relacion
149139,1,206257,Titular único
157554,1,802720,Titular único
172634,1,800493,Titular único
196315,1,208593,Titular único
227861,1,795722,Titular único
245147,1,804186,Titular único
250679,1,403825,Titular único
251614,1,795204,Titular único
251763,1,790598,Titular único
251998,1,805057,Titular único
254987,1,797076,Titular único
284023,1,798254,Titular único
295888,1,984295,Titular único
295918,1,112220,Titular único
297349,1,520250,Titular único
297538,1,797213,Titular único
300214,1,795750,Titular único
1501175,1,516910,Titular único
2251635,1,795547,Titular único
10000004,1,524363,Titular único
10000005,1,527569,Titular único
10000008,2,,Múltiples titulares
10000013,1,798612,Titular único
10000014,1,798984,Titular único
10000030,1,523221,Titular único
10000034,2,,Múltiples titulares
10000037,1,522875,Titular único
10000041,1,531677,Titular único
10000044,1,530095,Titular único
10000046,1,521698,Titular único
10000049,1,796067,Titular único
10000063,1,793009,Titular único
10000064,1,792589,Titular único
10000070,1,524727,Titular único
10000071,1,395665,Titular único
10000078,1,797029,Titular único
10000079,3,,Múltiples titulares
10000081,1,750007,Titular único
10000164,1,114806,Titular único
10000173,1,528098,Titular único
10000176,1,193948,Titular único
10000178,1,799912,Titular único
10000180,1,32562,Titular único
10000181,1,800118,Titular único
10000187,2,,Múltiples titulares
10000188,2,,Múltiples titulares
10000191,2,,Múltiples titulares
10000194,1,797313,Titular único
10000198,1,796940,Titular único
10000201,1,523616,Titular único
10000202,1,142738,Titular único
10000204,1,522403,Titular único
10000206,1,801227,Titular único
10000207,3,,Múltiples titulares
10000208,1,793886,Titular único
10000210,1,794843,Titular único
10000211,2,,Múltiples titulares
10000212,1,795750,Titular único
10000316,1,798997,Titular único
10000325,1,519645,Titular único
10000339,1,931529,Titular único
10000341,2,,Múltiples titulares
10000342,1,530381,Titular único
10000343,3,,Múltiples titulares
10000355,1,521027,Titular único
10000357,1,520848,Titular único
10000358,1,527491,Titular único
10000361,2,,Múltiples titulares
10000362,3,,Múltiples titulares
10000365,1,191996,Titular único
10000366,1,517284,Titular único
10000367,2,,Múltiples titulares
10000396,1,793538,Titular único
10000462,1,795228,Titular único
10000470,1,103862,Titular único
10000475,2,,Múltiples titulares
10000477,1,76925,Titular único
10000479,1,524452,Titular único
10000481,2,,Múltiples titulares
10000482,2,,Múltiples titulares
10000486,1,721354,Titular único
10000487,1,194248,Titular único
10000489,1,798796,Titular único
10000492,1,796067,Titular único
10000493,2,,Múltiples titulares
10000494,3,,Múltiples titulares
10000495,1,793255,Titular único
10000496,1,529617,Titular único
10000497,1,528561,Titular único
